ethnicity,fighting_men,dependent_multiplier,estimated_total_population,assumption_basis
Malay,5000,3,15000,Adult male fighting-men count scaled by household/dependent multipliers
Malay,5000,4,20000,Adult male fighting-men count scaled by household/dependent multipliers
Malay,5000,5,25000,Adult male fighting-men count scaled by household/dependent multipliers
Cochin Chinese,10000,3,30000,Adult male fighting-men count scaled by household/dependent multipliers
Cochin Chinese,10000,4,40000,Adult male fighting-men count scaled by household/dependent multipliers
Cochin Chinese,10000,5,50000,Adult male fighting-men count scaled by household/dependent multipliers
Peguan,10000,3,30000,Adult male fighting-men count scaled by household/dependent multipliers
Peguan,10000,4,40000,Adult male fighting-men count scaled by household/dependent multipliers
Peguan,10000,5,50000,Adult male fighting-men count scaled by household/dependent multipliers
Lao,20000,3,60000,Adult male fighting-men count scaled by household/dependent multipliers
Lao,20000,4,80000,Adult male fighting-men count scaled by household/dependent multipliers
Lao,20000,5,100000,Adult male fighting-men count scaled by household/dependent multipliers
Burmese,1000,3,3000,Adult male fighting-men count scaled by household/dependent multipliers
Burmese,1000,4,4000,Adult male fighting-men count scaled by household/dependent multipliers
Burmese,1000,5,5000,Adult male fighting-men count scaled by household/dependent multipliers
